Videocard Name,G3D Mark -,G2D Mark -
M76M,124,279
M860G with Mobility Radeon 4100,76,203
M880G with Mobility Radeon HD 4200,93,260
M880G with Mobility Radeon HD 4225,72,183
M880G with Mobility Radeon HD 4250,104,270
Master X3100 Driver,10,79
Matrox C420 LP PCIe x16,635,523
Matrox C680 PCIe x16,"1,904",700
Matrox C900 PCIe x16,"1,812",761
Matrox G200e WDDM 1.2,59,505
Matrox G200e WDDM 2.0,123,801
Matrox G200eh,41,449
Matrox G200eh WDDM 1.2,52,448
Matrox G200eh WDDM 2.0,45,123
Matrox G200eR,37,400
Matrox G200eR WDDM 1.2,45,210
Matrox G200eR WDDM 2.0,68,457
Matrox G200eW,40,107
Matrox G200eW WDDM 1.2,50,397
Matrox G200eW3 WDDM 2.0,94,316
Matrox M9120 PCIe x16,20,870
Matrox M9120 Plus LP PCIe x16,26,27
Matrox M9125 PCIe x16,26,138
Matrox M9128 LP PCIe x16,29,47
Matrox M9138 LP PCIe x16,42,160
Matrox M9140 LP PCIe x16,23,390
Matrox M9148 LP PCIe x16,32,135
Matrox Millennium P650 PCIe 128,5,287
Matrox Millennium P690 PCIe x16,367,295
Matrox Millennium P690 Plus LP PCIe x16,7,251
Matrox Parhelia 128MB,3,107
Matrox Parhelia 256MB,9,140
Matrox Parhelia APVe,6,275
MCT USB3.0 External Device,520,129
MEDION RADEON 9800 XXL,72,187
MEDION RADEON X740XL,95,228
Miracast display port driver V3,"15,910",604
MIRRORV3,"1,081",421
Mobile Intel - famiglia Express Chipset 45,39,264
Mobile Intel 4 Express-Chipsatzfamilie,45,251
Mobile Intel 45 Express,42,33
Mobile Intel 45 Express-Chipsatzfamilie,117,270
Mobile Intel 915GM/GMS/910GML Express,2,43
Mobile Intel 945 Express,2,9
Mobile Intel 945GM Express,6,223
Mobile Intel 945GM/GU Express,5,223
Mobile Intel 965 Express,58,17
Mobile Intel 965 Express - BR-0907-0461 v1839,8,124
Mobile Intel 965 Express-Chipsatzfamilie,24,203
Mobile Intel HD,285,164
Mobile Intel serie 4 Express,45,232
Mobile Intel965 Express,18,264
MOBILITY FIREGL 7800,5,86
MOBILITY FIREGL T2,41,171
MOBILITY FIREGL T2/T2e,34,171
MOBILITY FireGL V3200,62,238
MOBILITY FireGL V5000,82,223
MOBILITY FireGL V5200,45,248
MOBILITY FireGL V5250,27,252
Mobility FireGL V5725,219,405
MOBILITY IGP 9000/9100,10,125
Mobility Radeon 4100,81,265
MOBILITY RADEON 7000 IGP,6,151
MOBILITY RADEON 7500,4,103
MOBILITY RADEON 9000,3,111
MOBILITY RADEON 9000 IGP,8,143
MOBILITY RADEON 9000/9100 IGP,6,118
MOBILITY RADEON 9100 IGP,3,128
MOBILITY RADEON 9200,3,145
MOBILITY RADEON 9550,30,166
MOBILITY RADEON 9600,36,172
MOBILITY RADEON 9600 PRO TURBO,25,137
MOBILITY RADEON 9600/9700,39,165
MOBILITY RADEON 9700,27,158
MOBILITY RADEON 9800,46,110
Mobility Radeon HD 2300,51,211
Mobility Radeon HD 2400,90,212
Mobility Radeon HD 2400 XT,102,246
Mobility Radeon HD 2600,168,267
Mobility Radeon HD 2600 XT,192,329
Mobility Radeon HD 3400 Serisi,111,239
Mobility Radeon HD 3410,63,130
Mobility Radeon HD 3430,98,260
Mobility Radeon HD 3450,91,247
Mobility Radeon HD 3470,93,250
Mobility Radeon HD 3470 Hybrid X2,94,206
Mobility Radeon HD 3650,130,48
Mobility Radeon HD 3670,232,331
Mobility Radeon HD 3850,366,248
Mobility Radeon HD 3870,548,288
Mobility Radeon HD 3870 X2,478,187
Mobility Radeon HD 4200,91,260
Mobility Radeon HD 4225,66,174
Mobility Radeon HD 4250,98,280
Mobility Radeon HD 4270,93,282
Mobility Radeon HD 4300 Serisi,73,216
Mobility Radeon HD 4330,135,377
Mobility Radeon HD 4350,148,369
Mobility Radeon HD 4550,191,290
Mobility Radeon HD 4570,133,28
Mobility Radeon HD 4650,401,320
Mobility Radeon HD 4670,463,375
Mobility Radeon HD 4830,512,285
Mobility Radeon HD 4850,866,472
Mobility Radeon HD 4870,720,416
Mobility Radeon HD 5000,773,429
Mobility Radeon HD 5000 Serisi,479,305
Mobility Radeon HD 5165,284,362
Mobility Radeon HD 530v,175,353
Mobility Radeon HD 540v,188,382
Mobility Radeon HD 5430,181,330
Mobility Radeon HD 5450,214,320
Mobility Radeon HD 545v,200,270
Mobility Radeon HD 5470,236,362
Mobility Radeon HD 550v,266,398
Mobility Radeon HD 5570,544,246
Mobility Radeon HD 560v,318,366
Mobility Radeon HD 5650,451,143
Mobility Radeon HD 565v,353,318
Mobility Radeon HD 5730,487,144
Mobility Radeon HD 5850,763,403
Mobility Radeon HD 5870,"1,062",207
Mobility Radeon HD serie 4200,97,227
Mobility Radeon X1300,40,222
Mobility Radeon X1350,40,274
Mobility Radeon X1400,43,226
Mobility Radeon X1450,33,205
Mobility Radeon X1600,92,236
Mobility Radeon X1700,105,228
MOBILITY RADEON X1800,130,247
Mobility Radeon X1900,135,287
Mobility Radeon X2300,48,263
Mobility Radeon X2300 HD,49,244
Mobility Radeon X2500,82,235
MOBILITY RADEON X300,34,204
MOBILITY RADEON X600,50,209
MOBILITY RADEON X600 SE,49,233
MOBILITY RADEON X700,67,200
MOBILITY RADEON X700 XL,60,189
MOBILITY RADEON XPRESS 200,27,176
Mobility Radeon. HD 5470,215,398
MOBILITY/RADEON 9000,4,153
MONSTER GeForce GTX 675M,"2,637",686
MxGPU,"1,826",479
N16P-GX,"1,205",803
N18E-Q1,"2,525",547
nForce 750a SLI,83,351
nForce 760i SLI,140,379
nForce 780a SLI,92,425
nForce 980a/780a SLI,82,367
NV44,15,251
NVIDIA TITAN X,"13,660",912
NVIDIA TITAN Xp,"18,280",812
NVS 2100M,139,221
NVS 300,114,60
NVS 310,242,179
NVS 3100M,115,42
NVS 315,286,187
NVS 4200M,257,75
NVS 510,729,276
NVS 5100M,194,90
NVS 5200M,535,193
NVS 5400M,635,184
NVS 810,"1,141",313
OPAL XT/GL,"1,053",640
OpenXT Display Driver,31,485
P104-100,"4,450",114
P106-090,"2,402",104
P106-100,"5,967",339
PHDGD Ivy 4,374,434
PHDGD Ivy 5,445,497
PHDGD Quantic C3,117,351
PHDGD Sapphire GR for Mobile Intel 965,26,243
PHDGD Solo 1.2.0 x86,11,169
PHDGD Solo 2 x64,20,183
Professional HD Driver,654,555
Q12U-1,"5,164",600
Quadro 1000M,599,201
Quadro 1100M,755,734
Quadro 2000,942,294
Quadro 2000 D,"1,239",594
Quadro 2000D,989,324
Quadro 2000M,773,249
Quadro 2100M,"1,100",765
Quadro 280 NVS PCIe,6,185
Quadro 3000M,"1,032",321
Quadro 400,146,67
Quadro 4000,"1,489",367
Quadro 4000M,"1,307",256
Quadro 410,436,218
Quadro 5000,"1,984",377
Quadro 5000M,"2,060",426
Quadro 500M,664,588
Quadro 5010M,"1,891",366
Quadro 600,546,225
Quadro 6000,"2,689",458
Quadro 7000,"3,505",397
Quadro CX,947,454
Quadro FX 1000,34,266
Quadro FX 1100,36,178
Quadro FX 1300,34,276
Quadro FX 1400,124,152
Quadro FX 1500,190,105
Quadro FX 1500M,171,275
Quadro FX 1600M,186,211
Quadro FX 1700,118,44
Quadro FX 1700M,173,135
Quadro FX 1800,405,90
Quadro FX 1800M,469,73
Quadro FX 2000,18,146
Quadro FX 2500M,218,272
Quadro FX 2700,543,465
Quadro FX 2700M,358,74
Quadro FX 2800M,430,83
Quadro FX 3000,69,178
Quadro FX 3400/4400,104,239
Quadro FX 3450,149,235
Quadro FX 3450/4000 SDI,175,190
Quadro FX 350,86,378
Quadro FX 3500,292,106
Quadro FX 3500M,306,309
Quadro FX 350M,45,132
Quadro FX 3600M,467,365
Quadro FX 360M,87,308
Quadro FX 370,84,385
Quadro FX 370 Low Profile,103,492
Quadro FX 370 LP,108,481
Quadro FX 3700,384,158
Quadro FX 3700M,467,117
Quadro FX 370M,93,334
Quadro FX 380,186,151
Quadro FX 380 LP,136,128
Quadro FX 3800,780,100
Quadro FX 3800M,628,68
Quadro FX 380M,124,124
Quadro FX 4000,101,78
Quadro FX 4500,226,143
Quadro FX 4500 X2,236,653
Quadro FX 4600,437,202
Quadro FX 4700 X2,676,509
Quadro FX 4800,975,109
Quadro FX 500/600 PCI,14,203
Quadro FX 500/FX 600,8,151
Quadro FX 540,81,294
Quadro FX 550,64,325
Quadro FX 5500,242,394
Quadro FX 560,114,360
Quadro FX 5600,562,168
Quadro FX 570,156,140
Quadro FX 570M,111,49
Quadro FX 580,155,59
Quadro FX 5800,"1,248",134
Quadro FX 770M,198,92
Quadro FX 880M,219,80
Quadro FX Go1400,102,223
Quadro GP100,"16,203",858
Quadro GV100,"12,721",802
Quadro K1000M,774,244
Quadro K1100M,"1,082",250
Quadro K1200,"2,871",576
Quadro K2000,"1,564",370
Quadro K2000D,"1,632",423
Quadro K2000M,"1,028",256
Quadro K2100M,"1,350",278
Quadro K2200,"3,540",534
Quadro K2200M,"3,877",432
Quadro K3000M,"1,617",357
Quadro K3100M,"2,279",330
Quadro K4000,"2,700",421
Quadro K4000M,"1,949",351
Quadro K4100M,"2,756",352
Quadro K420,774,280
Quadro K4200,"4,337",503
Quadro K5000,"3,910",434
Quadro K5000M,"2,754",363
Quadro K500M,480,184
Quadro K5100M,"3,266",418
Quadro K510M,610,550
Quadro K5200,"5,780",501
Quadro K600,768,262
Quadro K6000,"8,134",558
Quadro K610M,708,239
Quadro K620,"2,247",472
Quadro K620M,"1,157",157
Quadro M1000M,"2,996",335
Quadro M1200,"3,347",313
Quadro M2000,"3,961",567
Quadro M2000M,"3,549",344
Quadro M2200,"4,347",387
Quadro M3000M,"5,680",437
Quadro M4000,"6,637",687
Quadro M4000M,"6,530",471
Quadro M5000,"9,245",680
Quadro M5000M,"6,930",487
Quadro M500M,"1,121",189
Quadro M520,"1,981",234
Quadro M5500,"7,915",698
Quadro M6000,"11,397",788
Quadro M6000 24GB,"12,205",782
Quadro M600M,"2,008",446
Quadro M620,"2,840",427
Quadro NVS 110M,48,236
Quadro NVS 120M,47,274
Quadro NVS 130M,97,190
Quadro NVS 135M,67,74
Quadro NVS 140M,49,99
Quadro NVS 150M,93,327
Quadro NVS 160M,76,46
Quadro NVS 210S,24,265
Quadro NVS 210S / GeForce 6150LE,21,272
Quadro NVS 280 PCI,8,261
Quadro NVS 280 SD,2,119
Quadro NVS 285,39,185
Quadro NVS 285 128MB,38,313
Quadro NVS 290,205,59
Quadro NVS 295,75,73
Quadro NVS 320M,128,109
Quadro NVS 420,70,186
Quadro NVS 440,38,358
Quadro NVS 450,64,154
Quadro NVS 510M,254,317
Quadro NVS 55/280 PCI,6,116
Quadro P1000,"4,473",660
Quadro P2000,"7,097",693
Quadro P2000 with Max-Q Design,"4,597",533
Quadro P2200,"9,485",971
Quadro P3000,"6,521",458
Quadro P3200,"8,663",510
Quadro P3200 with Max-Q Design,"9,242",557
Quadro P400,"1,616",427
Quadro P4000,"11,429",824
Quadro P4000 with Max-Q Design,"9,083",700
Quadro P4200,"9,827",607
Quadro P4200 with Max-Q Design,"11,869",583
Quadro P500,"1,519",260
Quadro P5000,"11,957",702
Quadro P520,"2,128",253
Quadro P5200,"12,144",667
Quadro P5200 with Max-Q Design,"12,323",581
Quadro P600,"3,330",481
Quadro P6000,"15,811",773
Quadro P620,"3,638",577
Quadro RTX 3000,"11,142",530
Quadro RTX 3000 with Max-Q Design,"8,754",350
Quadro RTX 4000,"15,514",904
Quadro RTX 4000 (Mobile),"13,034",591
Quadro RTX 4000 with Max-Q Design,"13,445",582
Quadro RTX 5000,"16,257",762
Quadro RTX 5000 (Mobile),"14,832",705
Quadro RTX 5000 with Max-Q Design,"14,030",614
Quadro RTX 6000,"19,692",837
Quadro RTX 8000,"19,126",801
Quadro T1000,"6,531",447
Quadro T1000 with Max-Q Design,"6,572",415
Quadro T2000,"7,141",476
Quadro T2000 with Max-Q Design,"6,908",458
Quadro2 MXR/EX,5,142
Quadro2 Pro,1,143
Quadro4 380 XGL,7,225
Quadro4 900 XGL,5,194
Quadro4 980 XGL,5,181
Qualcomm Adreno 540 GPU,120,52
Qualcomm Adreno 618 GPU,120,61
Qualcomm Adreno 630 GPU,261,75
Qualcomm Adreno 680 GPU,405,81
Qualcomm Adreno 690 GPU,952,81
Qualcomm Adreno 8cx Gen 3,"1,670",169
QXL KMDOD,19,203
Radeon 2100,60,286
Radeon 3000,98,414
Radeon 3100,74,228
Radeon 520,829,214
Radeon 530,944,181
Radeon 535,"1,048",203
Radeon 535DX,813,199
Radeon 540,"1,273",272
Radeon 540X,"1,398",264
Radeon 550,"1,959",501
Radeon 550X,"1,430",273
Radeon 620,840,202
Radeon 625,"1,165",215
Radeon 630,"1,245",223
Radeon 6600M,513,143
Radeon 6750M,911,570
Radeon 7000 / Radeon VE,3,99
RADEON 7000 / RADEON VE Family,4,107
RADEON 7200,3,94
RADEON 7500,3,35
RADEON 7500 Family,5,125
RADEON 8500 Family,7,146
RADEON 9000,5,126
RADEON 9000 Family,4,123
RADEON 9100 Family,6,163
RADEON 9100 IGP,5,128
RADEON 9200,4,135
RADEON 9200 LE Family,3,128
RADEON 9200 PRO Family,3,135
RADEON 9200 SE,3,129
RADEON 9250,3,127
RADEON 9500,36,173
RADEON 9500 PRO / 9700,42,157
RADEON 9550,35,145
Radeon 9550 / X1050,29,150
RADEON 9600 Family,25,150
RADEON 9600 PRO,43,163
RADEON 9600 PRO Family,27,148
RADEON 9600 TX Family,18,138
RADEON 9600 XT,35,147
RADEON 9600SE,27,143
RADEON 9700 PRO,54,149
RADEON 9800,58,191
RADEON 9800 PRO,59,153
RADEON 9800 SE,24,131
RADEON 9800 XT,57,160
RADEON A9800XT,23,145
RADEON E2400,52,287
RADEON E4690,405,347
Radeon E6460,324,225
Radeon E6465,231,354
Radeon E6760,973,573
Radeon E8860,"1,626",528
Radeon E8870PCIe,"3,368",708
Radeon HD 2350,77,262
Radeon HD 2400,121,298
Radeon HD 2400 PCI,14,86
Radeon HD 2400 Pro,114,346
Radeon HD 2400 XT,119,357
Radeon HD 2600 PRO,211,337
Radeon HD 2600 Pro AGP,110,137
Radeon HD 2600 XT,283,371
Radeon HD 2900 GT,292,344
Radeon HD 2900 PRO,628,397
Radeon HD 2900 XT,660,397
Radeon HD 3000,96,264
Radeon HD 3200,82,227
Radeon HD 3300,127,373
Radeon HD 3450,119,30
Radeon HD 3470,90,95
Radeon HD 3650 AGP,150,155
Radeon HD 3670,151,62
Radeon HD 3850,410,43
Radeon HD 3850 AGP,432,92
Radeon HD 3850 X2,822,422
Radeon HD 3870,576,82
Radeon HD 3870 X2,709,224
Radeon HD 4200,112,372
Radeon HD 4250,123,408
Radeon HD 4270,110,303
Radeon HD 4290,141,442
Radeon HD 4300/4500 Serisi,156,347
Radeon HD 4330,109,42
Radeon HD 4350,102,34
Radeon HD 4550,236,429
Radeon HD 4650,219,39
Radeon HD 4650 AGP,208,156
Radeon HD 4670,384,50
Radeon HD 4770,906,172
Radeon HD 4810,769,425
Radeon HD 4830,860,81
Radeon HD 4850,952,111
Radeon HD 4850 X2,"1,132",542
Radeon HD 4870,"1,379",80
Radeon HD 4870 X2,"1,309",565
Radeon HD 4890,"1,533",103
Radeon HD 5450,138,149
Radeon HD 5470,268,298
Radeon HD 5550,383,187
Radeon HD 5570,474,176
Radeon HD 5600/5700,661,273
Radeon HD 5670,787,279
Radeon HD 5750,"1,156",336
Radeon HD 5770,"1,352",328
Radeon HD 5830,"1,739",382
Radeon HD 5850,"1,967",408
Radeon HD 5870,"2,266",410
Radeon HD 5970,"2,249",393
Radeon HD 6230,179,254
Radeon HD 6250,94,32
Radeon HD 6290,109,34
Radeon HD 6290M,140,92
Radeon HD 6300M,142,116
Radeon HD 6310,124,39
Radeon HD 6320,148,45
Radeon HD 6320 Graphic,216,159
Radeon HD 6320M,198,151
RADEON HD 6350,141,171
Radeon HD 6370D,254,147
Radeon HD 6370M,276,401
Radeon HD 6380G,204,97
Radeon HD 6410D,243,123
Radeon HD 6430M,193,106
Radeon HD 6450,200,120
Radeon HD 6450 + 8470D Dual,763,486
Radeon HD 6450A,260,208
Radeon HD 6470M,228,104
Radeon HD 6480G,259,78
Radeon HD 6480M,353,282
Radeon HD 6490M,378,514
Radeon HD 6520G,301,84
Radeon HD 6530D,325,138
Radeon HD 6550A,708,609
Radeon HD 6550D,417,149
Radeon HD 6570,495,193
Radeon HD 6610M,565,527
Radeon HD 6620G,358,106
Radeon HD 6630M,685,390
Radeon HD 6650A,836,418
Radeon HD 6650M,752,230
Radeon HD 6670,745,236
Radeon HD 6670 + 6670 Dual,647,552
Radeon HD 6670 + 7660D Dual,"1,492",483
Radeon HD 6670/7670,946,320
Radeon HD 6700M,"1,017",523
Radeon HD 6750,998,300
Radeon HD 6750M,937,487
Radeon HD 6770,"1,231",314
Radeon HD 6770M,964,572
Radeon HD 6790,"1,613",370
Radeon HD 6800M,728,230
Radeon HD 6850,"1,979",424
Radeon HD 6850 X2,"2,534",373
Radeon HD 6870,"2,224",397
Radeon HD 6900M,"1,710",345
Radeon HD 6950,"2,641",427
Radeon HD 6970,"2,863",430
Radeon HD 6970M,"2,270",656
Radeon HD 6990,"3,013",630
Radeon HD 7290,115,51
Radeon HD 7290M,123,90
Radeon HD 7310,130,45
Radeon HD 7310 - Carte graphique,174,120
Radeon HD 7310G,181,119
Radeon HD 7310M,166,127
Radeon HD 7340,156,56
Radeon HD 7340G,196,146
Radeon HD 7340M,221,160
Radeon HD 7350,193,248
Radeon HD 7400G,267,109
Radeon HD 7420G,311,121
Radeon HD 7450,221,147
Radeon HD 7450A,288,385
Radeon HD 7450M,330,441
Radeon HD 7470,316,177
Radeon HD 7470M,408,393
Radeon HD 7480D,288,117
Radeon HD 7500G,330,114
Radeon HD 7500G + 7500M/7600M Dual,617,308
Radeon HD 7500G + 7550M Dual,497,263
Radeon HD 7500G + HD 7500M/7600M Dual,356,265
Radeon HD 7520G,312,111
Radeon HD 7520G + 7400M Dual,487,280
Radeon HD 7520G + 7470M Dual,543,345
Radeon HD 7520G + 7500/7600 Dual,582,379
Radeon HD 7520G + 7600M Dual,591,362
Radeon HD 7520G + 7610M Dual,588,317
Radeon HD 7520G + 7650M Dual,453,345
Radeon HD 7520G + 7670M Dual,523,323
Radeon HD 7520G + 7700M Dual,"1,061",331
Radeon HD 7520G + 8600/8700M Dual,311,329
Radeon HD 7520G + 8750M Dual,377,388
Radeon HD 7520G + HD 7400M Dual,545,315
Radeon HD 7520G + HD 7500/7600 Dual,832,355
Radeon HD 7520G + HD 7600M Dual,447,150
Radeon HD 7520G + HD 7670M Dual,495,295
Radeon HD 7520G + HD 7700M Dual,575,389
Radeon HD 7520G + HD 8600/8700M Dual,624,291
Radeon HD 7520G + HD 8750M Dual,651,289
Radeon HD 7520G N HD 7520G + HD 7500/7600 7500/760,575,386
Radeon HD 7520G N HD 7520G + HD 7600M N HD 7600M D,365,263
Radeon HD 7540D,336,125
Radeon HD 7540D + 6570 Dual,720,469
Radeon HD 7540D + 7500 Dual,822,471
Radeon HD 7540D + HD 6450 Dual,643,444
Radeon HD 7550M,465,403
Radeon HD 7550M/7650M,729,524
Radeon HD 7560D,468,167
Radeon HD 7560D + 6450 Dual,569,490
Radeon HD 7560D + 6570 Dual,833,476
Radeon HD 7560D + 6670 Dual,"1,131",501
Radeon HD 7560D + 7560D Dual,983,420
Radeon HD 7560D + 7570 Dual,985,434
Radeon HD 7560D + 7670 Dual,"1,426",445
Radeon HD 7560D + 7700 Dual,"1,919",518
Radeon HD 7560D + HD 6570 Dual,"1,237",528
Radeon HD 7560D + HD 6670 Dual,"1,555",652
Radeon HD 7560D + HD 7000 Dual,534,423
Radeon HD 7560D + HD 7600 Dual,"1,258",457
Radeon HD 7560D + HD 7670 Dual,"1,380",463
Radeon HD 7560D + HD 7700 Dual,"1,347",497
Radeon HD 7560D + HD 8570 Dual,936,425
Radeon HD 7560D + R5 235 Dual,563,397
Radeon HD 7570,615,268
Radeon HD 7570M,448,201
Radeon HD 7570M/HD 7670M,699,555
Radeon HD 7580D,351,430
Radeon HD 7600G,320,99
Radeon HD 7600G + 6400M Dual,377,257
Radeon HD 7600G + 7450M Dual,390,221
Radeon HD 7600G + 7500M/7600M Dual,406,210
Radeon HD 7600G + 7550M Dual,423,247
Radeon HD 7600G + 8500M/8700M Dual,470,257
Radeon HD 7600G + HD 7400M Dual,329,147
Radeon HD 7600G + HD 7500M/7600M Dual,555,244
Radeon HD 7600G + HD 7550M Dual,509,202
Radeon HD 7600G + HD 8670M Dual,544,241
Radeon HD 7600G + HD Dual,435,158
Radeon HD 7600G N HD 7600G + HD ON HD Dual,526,244
Radeon HD 7600M + 7600M Dual,773,317
Radeon HD 7610M,632,479
Radeon HD 7620G,366,113
Radeon HD 7620G + 8600M Dual,509,294
Radeon HD 7620G + 8670M Dual,577,322
Radeon HD 7620G + HD 8600M Dual,443,267
Radeon HD 7620G + HD 8670M Dual,507,267
Radeon HD 7620G N HD 7620G + HD 8600M N HD 8600M D,452,238
Radeon HD 7640G,446,123
Radeon HD 7640G + 6400M Dual,527,279
Radeon HD 7640G + 7400M Dual,637,286
Radeon HD 7640G + 7450M Dual,754,353
Radeon HD 7640G + 7470M Dual,595,301
Radeon HD 7640G + 7500/7600 Dual,627,293
Radeon HD 7640G + 7500M/7600M Dual,776,317
Radeon HD 7640G + 7600M Dual,706,294
Radeon HD 7640G + 7610M Dual,510,309
Radeon HD 7640G + 7650M Dual,747,188
Radeon HD 7640G + 7670M Dual,645,294
Radeon HD 7640G + 7690M Dual,946,325
Radeon HD 7640G + 7700M Dual,691,324
Radeon HD 7640G + 8500M Dual,586,308
Radeon HD 7640G + 8570M Dual,558,274
Radeon HD 7640G + 8600/8700M Dual,689,308
Radeon HD 7640G + 8600M Dual,250,217
Radeon HD 7640G + 8670M Dual,558,316
Radeon HD 7640G + 8750M Dual,655,305
Radeon HD 7640G + HD 7400M Dual,621,297
Radeon HD 7640G + HD 7500/7600 Dual,424,301
Radeon HD 7640G + HD 7600M Dual,704,277
Radeon HD 7640G + HD 7600M N HD 7600M Dual,407,198
Radeon HD 7640G + HD 7670M Dual,519,97
Radeon HD 7640G + HD 7700M Dual,589,277
Radeon HD 7640G + HD 7700M N HD 7700M Dual,631,272
Radeon HD 7640G + HD 8500M Dual,607,305
Radeon HD 7640G + HD 8500M N HD 8500M Dual,666,311
Radeon HD 7640G + HD 8570M Dual,475,196
Radeon HD 7640G + HD 8600/8700M Dual,587,298
Radeon HD 7640G + HD 8670M Dual,677,249
Radeon HD 7640G + HD 8750M Dual,997,293
Radeon HD 7640G + R5 M200 Dual,559,249
Radeon HD 7640G + R5 M230 Dual,239,75
Radeon HD 7640G N HD 7640G + HD 7600M N HD 7600M D,824,262
Radeon HD 7640G N HD 7640G + HD 7670M Dual,680,305
Radeon HD 7640G N HD 7640G + HD 8570M Dual,423,287
Radeon HD 7650A,564,311
Radeon HD 7650M,451,69
Radeon HD 7660D,505,182
Radeon HD 7660D + 6570 Dual,"1,100",551
Radeon HD 7660D + 6670 Dual,"1,238",524
Radeon HD 7660D + 7470 Dual,466,491
Radeon HD 7660D + 7500 Dual,"1,121",500
Radeon HD 7660D + 7540D Dual,"1,204",547
Radeon HD 7660D + 7670 Dual,"1,062",494
Radeon HD 7660D + HD 6670 Dual,"1,485",515
Radeon HD 7660D + HD 7000 Dual,634,465
Radeon HD 7660D + HD 7400 Dual,340,448
Radeon HD 7660D + HD 7700 Dual,"1,958",495
Radeon HD 7660D + R5 235 Dual,524,386
Radeon HD 7660D + R7 240 Dual,942,453
Radeon HD 7660G,476,129
Radeon HD 7660G + 7400M Dual,588,326
Radeon HD 7660G + 7470M Dual,631,351
Radeon HD 7660G + 7600M Dual,832,341
Radeon HD 7660G + 7610M Dual,746,323
Radeon HD 7660G + 7670M Dual,743,347
Radeon HD 7660G + 7700M Dual,757,311
Radeon HD 7660G + 7730M Dual,931,392
Radeon HD 7660G + 8600M Dual,446,360
Radeon HD 7660G + 8670M Dual,588,333
Radeon HD 7660G + HD 7500/7600 7500/7600 Dual,"1,002",347
Radeon HD 7660G + HD 7500/7600 Dual,760,369
Radeon HD 7660G + HD 7500M/7600M Dual,999,323
Radeon HD 7660G + HD 7600M Dual,616,116
Radeon HD 7660G + HD 7600M N HD 7600M Dual,460,297
Radeon HD 7660G + HD 7670M Dual,707,317
Radeon HD 7660G + HD 7700M Dual,777,168
Radeon HD 7660G + HD 7730M Dual,882,329
Radeon HD 7660G + HD 8500M Dual,758,355
Radeon HD 7660G + HD 8600/8700M Dual,747,365
Radeon HD 7660G + HD 8600M Dual,364,337
Radeon HD 7660G + HD 8670M Dual,711,325
Radeon HD 7660G N HD 7660G + HD 7600M N HD 7600M D,723,292
Radeon HD 7660G N HD 7660G + HD 7670M Dual,705,318
Radeon HD 7660G N HD 7660G + HD 7700M N HD 7700M D,967,351
Radeon HD 7670,813,301
Radeon HD 7670A,"1,050",702
Radeon HD 7670M,487,129
Radeon HD 7670M + 7670M Dual,738,294
Radeon HD 7690M,"1,003",576
Radeon HD 7690M XT,"1,009",552
Radeon HD 7700-serie,"1,899",533
Radeon HD 7730,"1,217",402
Radeon HD 7730M,634,218
Radeon HD 7750,"1,697",398
Radeon HD 7750M,"1,191",693
Radeon HD 7770,"2,201",469
Radeon HD 7790,"3,090",459
Radeon HD 7800-serie,"4,029",708
Radeon HD 7850,"3,824",550
Radeon HD 7850M,"1,373",566
Radeon HD 7870,"4,668",588
Radeon HD 7870 XT,"4,470",661
Radeon HD 7870M,"1,507",556
Radeon HD 7950 / R9 280,"4,765",691
Radeon HD 7970 / R9 280X,"5,248",730
Radeon HD 7970M,"3,774",541
Radeon HD 7990,"5,566",766
Radeon HD 8180,152,55
Radeon HD 8210,193,50
Radeon HD 8210E,194,202
Radeon HD 8240,241,62
Radeon HD 8250,208,63
Radeon HD 8280,319,141
Radeon HD 8280E,241,82
Radeon HD 8280G,270,130
Radeon HD 8310E,341,187
Radeon HD 8330,252,68
Radeon HD 8330E,242,95
Radeon HD 8350,165,233
Radeon HD 8350G,443,332
Radeon HD 8370D,311,151
Radeon HD 8400,259,78
Radeon HD 8400E,273,123
Radeon HD 8410G,435,263
Radeon HD 8450G,356,149
Radeon HD 8450G + 8600/8700M Dual,"1,070",381
Radeon HD 8450G + 8600M Dual,545,356
Radeon HD 8450G + 8670M Dual,475,414
Radeon HD 8450G + 8750M Dual,637,299
Radeon HD 8450G + HD 8600M Dual,452,326
Radeon HD 8450G + HD 8670M Dual,575,377
Radeon HD 8450G + HD 8750M Dual,504,323
Radeon HD 8450G + R5 M230 Dual,578,298
Radeon HD 8470,257,172
Radeon HD 8470D,362,145
Radeon HD 8470D + 6450 Dual,717,558
Radeon HD 8470D + 6570 Dual,838,454
Radeon HD 8470D + HD 6450 Dual,863,590
Radeon HD 8470D + HD 6670 Dual,"1,436",512
Radeon HD 8470D + HD 7500 Dual,"1,545",465
Radeon HD 8490,265,173
Radeon HD 8500M,397,116
Radeon HD 8500M/8700M,853,503
Radeon HD 8510G,361,105
Radeon HD 8510G + 8500M Dual,596,260
Radeon HD 8510G + HD 8500M Dual,630,191
Radeon HD 8550D,685,357
Radeon HD 8550G,398,120
Radeon HD 8550G + 7600M Dual,901,395
Radeon HD 8550G + 8500M Dual,603,304
Radeon HD 8550G + 8570M Dual,533,307
Radeon HD 8550G + 8600/8700M Dual,803,336
Radeon HD 8550G + 8600M Dual,618,321
Radeon HD 8550G + 8670M Dual,579,334
Radeon HD 8550G + 8690M Dual,664,260
Radeon HD 8550G + 8750M Dual,796,321
Radeon HD 8550G + HD 7600M Dual,855,350
