Videocard Name,G3D Mark -,G2D Mark -
GeForce 7050 / nForce 620i,39,129
GeForce 7050 / nForce 630i,38,145
GeForce 7050 PV / nForce 630a,31,109
GeForce 705M,456,455
GeForce 7100 / nForce 620i,26,229
GeForce 7100 / nForce 630i,35,67
GeForce 7100 GS,52,133
GeForce 710A,451,258
GeForce 710M,450,116
GeForce 7150 / nForce 630i,33,254
GeForce 7150M / nForce 630M,18,194
GeForce 7200 GS,23,98
GeForce 720A,725,690
GeForce 7300 GS,82,57
GeForce 7300 GT,135,39
GeForce 7300 LE,78,85
GeForce 7300 SE,39,251
GeForce 7300 SE/7200 GS,49,40
GeForce 730A,769,205
GeForce 7350 LE,74,281
GeForce 7500 LE,87,82
GeForce 7600 GS,158,55
GeForce 7600 GT,204,101
GeForce 7650 GS,134,335
GeForce 770M,"3,246",500
GeForce 7800 GS,177,199
GeForce 7800 GT,244,273
GeForce 7800 GTX,291,196
GeForce 7900 GS,254,68
GeForce 7900 GT,258,160
GeForce 7900 GT/GTO,247,469
GeForce 7900 GTX,388,165
GeForce 7950 GT,344,189
GeForce 7950 GX2,202,413
GeForce 7950 Xtreme,288,288
GeForce 800A,428,224
GeForce 800M,468,388
GeForce 8100 / nForce 720a,79,308
GeForce 810A,622,319
GeForce 810M,402,71
GeForce 8200,153,163
GeForce 8200M G,72,72
GeForce 820A,568,162
GeForce 820M,511,112
GeForce 825M,769,293
GeForce 8300,102,168
GeForce 8300 GS,67,314
GeForce 830A,"1,005",736
GeForce 830M,980,135
GeForce 8400,81,160
GeForce 8400 GS,128,32
GeForce 8400 SE,68,290
GeForce 8400M G,59,241
GeForce 8400M GS,98,47
GeForce 8400M GT,64,68
GeForce 840A,"1,180",266
GeForce 840M,"1,067",148
GeForce 845M,"1,430",233
GeForce 8500 GT,115,39
GeForce 8600 GS,92,100
GeForce 8600 GT,116,64
GeForce 8600 GTS,161,36
GeForce 8600M GS,73,57
GeForce 8600M GT,89,42
GeForce 8700M GT,124,97
GeForce 8800 GS,332,154
GeForce 8800 GT,519,86
GeForce 8800 GTS,440,56
GeForce 8800 GTS 512,591,109
GeForce 8800 GTX,597,105
GeForce 8800 Ultra,639,372
GeForce 8800M GTS,382,159
GeForce 8800M GTX,462,175
GeForce 9100,82,345
GeForce 9100M G,74,64
GeForce 910M,578,150
GeForce 9200,171,31
GeForce 9200M GE,157,79
GeForce 9200M GS,111,55
GeForce 920A,872,242
GeForce 920M,723,119
GeForce 920MX,"1,092",150
GeForce 9300,127,385
GeForce 9300 / nForce 730i,129,367
GeForce 9300 GE,84,54
GeForce 9300 GS,111,95
GeForce 9300 SE,82,344
GeForce 9300GE,98,367
GeForce 9300M G,85,242
GeForce 9300M GS,92,33
GeForce 930A,"1,082",391
GeForce 930M,"1,009",154
GeForce 930MX,"1,303",191
GeForce 9400,112,99
GeForce 9400 GT,105,60
GeForce 9400M,75,102
GeForce 9400M G,68,61
GeForce 940A,"1,145",348
GeForce 940M,"1,105",154
GeForce 940MX,"1,504",171
GeForce 9450,105,342
GeForce 945A,"1,852",716
GeForce 945M,"1,945",256
GeForce 9500 GS,157,66
GeForce 9500 GT,135,40
GeForce 9500M,104,320
GeForce 9500M G,122,172
GeForce 9500M GS,104,74
GeForce 9600 GS,279,57
GeForce 9600 GSO,350,118
GeForce 9600 GSO 512,345,111
GeForce 9600 GT,505,60
GeForce 9600M GS,119,70
GeForce 9600M GT,132,40
GeForce 9600M GT / GeForce GT 220M,293,291
GeForce 9650M GS,270,328
GeForce 9650M GT,140,75
GeForce 9700M GT,217,156
GeForce 9700M GTS,326,106
GeForce 9800 GT,482,99
GeForce 9800 GT 1024MB,134,315
GeForce 9800 GTX,769,366
GeForce 9800 GTX+,538,139
GeForce 9800 GTX/9800 GTX+,632,128
GeForce 9800 GX2,798,518
GeForce 9800 S,636,427
GeForce 9800M GS,460,109
GeForce 9800M GT,424,130
GeForce 9800M GTS,379,135
GeForce 9800M GTX,462,117
GeForce 999 GTX,84,138
GeForce FX 5100,8,247
GeForce FX 5200,8,154
GeForce FX 5200 Ultra,12,138
GeForce FX 5200LE,7,170
GeForce FX 5200SE,12,194
GeForce FX 5500,8,152
GeForce FX 5600,13,168
GeForce FX 5600 Ultra,17,122
GeForce FX 5600XT,9,166
GeForce FX 5700,41,173
GeForce FX 5700 Ultra,34,126
GeForce FX 5700LE,25,147
GeForce FX 5700VE,33,161
GeForce FX 5900,35,188
GeForce FX 5900 Ultra,41,170
GeForce FX 5900XT,40,134
GeForce FX 5900ZT,33,129
GeForce FX 5950 Ultra,59,274
GeForce FX Go 5200,8,190
GeForce FX Go 5600,18,186
GeForce FX Go5300,13,159
GeForce FX Go5650,17,211
GeForce FX Go5700,51,171
GeForce G 103M,61,39
GeForce G 105M,65,32
GeForce G100,141,60
GeForce G102M,134,137
GeForce G105M,108,46
GeForce G200,200,156
GeForce G205M,92,294
GeForce G210,104,53
GeForce G210M,122,36
GeForce Go 6100,18,181
GeForce Go 6150,19,92
GeForce Go 6200,15,204
GeForce Go 6400,24,212
GeForce Go 6600,69,209
GeForce Go 6600 TE/6200 TE,45,223
GeForce Go 6800,106,205
GeForce Go 6800 Ultra,138,198
GeForce Go 7200,45,199
GeForce Go 7300,52,114
GeForce Go 7400,66,112
GeForce Go 7600,128,220
GeForce Go 7600 GT,210,125
GeForce Go 7700,148,232
GeForce Go 7800,115,209
GeForce Go 7800 GTX,210,239
GeForce Go 7900 GS,176,254
GeForce Go 7900 GTX,270,264
GeForce Go 7950 GTX,264,283
GeForce GPU,"1,237",164
GeForce GT 1030,"2,545",449
GeForce GT 120,175,91
GeForce GT 120 / 9500 GT,325,327
GeForce GT 120M,266,272
GeForce GT 130,347,143
GeForce GT 130M,146,37
GeForce GT 140,658,225
GeForce GT 220,208,57
GeForce GT 220M,121,92
GeForce GT 230,322,80
GeForce GT 230M,201,48
GeForce GT 240,544,81
GeForce GT 240M,205,61
GeForce GT 320,444,92
GeForce GT 320M,107,41
GeForce GT 325M,171,52
GeForce GT 330,422,119
GeForce GT 330M,209,57
GeForce GT 335M,400,49
GeForce GT 340,774,469
GeForce GT 415,248,363
GeForce GT 415M,286,221
GeForce GT 420,411,187
GeForce GT 420M,418,83
GeForce GT 425M,517,175
GeForce GT 430,597,189
GeForce GT 435M,521,208
GeForce GT 440,766,238
GeForce GT 445M,881,250
GeForce GT 520,295,126
GeForce GT 520M,288,74
GeForce GT 520MX,293,56
GeForce GT 525M,459,95
GeForce GT 530,676,227
GeForce GT 540M,493,86
GeForce GT 545,"1,096",342
GeForce GT 550M,580,126
GeForce GT 555M,683,125
GeForce GT 610,303,127
GeForce GT 610M / GT 620M / GT 710M / GT 720M / GT,369,824
GeForce GT 620,364,161
GeForce GT 620M,431,129
GeForce GT 625,329,194
GeForce GT 625M,435,210
GeForce GT 630,683,207
GeForce GT 630M,549,151
