Videocard Name,G3D Mark -,G2D Mark -,TDP (W) -,Category
FirePro W4170M,954,223,NA,Unknown
Firepro W4190M,"1,086",194,NA,Unknown
FirePro W4300,"2,835",740,50,Workstation
FirePro W5000,"3,051",597,75,Workstation
FirePro W5100,"2,955",534,75,Workstation
FirePro W5130M,"1,341",307,NA,Unknown
Firepro W5170M,"1,555",399,NA,"Mobile, Workstation"
FirePro W600,"1,752",631,75,Workstation
FirePro W6150M,"1,515",314,NA,Unknown
FirePro W7000,"4,276",551,150,Workstation
FirePro W7000 Adapter,"4,340",692,NA,Unknown
FirePro W7100,"5,216",686,150,Workstation
FirePro W7170M,"3,162",418,NA,Unknown
FirePro W8000,"4,138",570,189,Workstation
FirePro W8100,"7,327",759,220,Workstation
FirePro W9000,"6,138",720,274,Workstation
FirePro W9100,"7,750",884,275,Workstation
FireStream 9170,647,493,NA,Unknown
FireStream 9250,"1,165",465,150,Workstation
FireStream 9270,"1,341",473,160,Workstation
FireStream 9370,"2,528",763,225,Workstation
GeCube RADEON 7000,9,144,NA,Unknown
GeForce 205,126,309,30.5,Desktop
GeForce 210,97,40,30.5,Desktop
GeForce 240M GT,320,434,NA,Unknown
GeForce 256,5,201,NA,Unknown
GeForce 305M,151,149,14,Mobile
GeForce 310,122,61,30.5,Desktop
GeForce 310M,112,27,14,Mobile
GeForce 315,159,66,33,Desktop
GeForce 315M,116,52,14,Mobile
GeForce 320M,219,69,20,Mobile
GeForce 405,122,63,NA,Unknown
GeForce 410M,250,129,12,Mobile
GeForce 505,187,587,NA,Unknown
GeForce 510,257,199,25,Desktop
GeForce 605,305,179,NA,Unknown
GeForce 6100,27,44,NA,Unknown
GeForce 6100 nForce 400,25,242,NA,Unknown
GeForce 6100 nForce 405,22,211,NA,Unknown
GeForce 6100 nForce 420,25,234,NA,Unknown
GeForce 6100 nForce 430,23,249,NA,Unknown
GeForce 610M,292,104,NA,Unknown
GeForce 615,552,412,NA,Unknown
GeForce 6150,22,250,NA,Unknown
GeForce 6150 LE,33,30,NA,Unknown
GeForce 6150SE,25,266,NA,Unknown
GeForce 6150SE nForce 430,30,21,NA,Unknown
GeForce 6200,35,58,NA,Desktop
GeForce 6200 A-LE,32,192,NA,Desktop
GeForce 6200 LE,31,89,NA,Desktop
GeForce 6200 TurboCache,46,78,NA,Unknown
GeForce 6200A,4,117,NA,Desktop
GeForce 6200SE TurboCache,37,146,NA,Unknown
GeForce 6500,38,300,NA,Desktop
GeForce 6600,91,79,NA,Desktop
GeForce 6600 GT,137,67,NA,Desktop
GeForce 6600 LE,51,234,NA,Desktop
GeForce 6610 XL,89,288,NA,Unknown
GeForce 6700 XL,95,243,NA,Unknown
GeForce 6800,113,258,NA,Desktop
GeForce 6800 GS,195,121,NA,Desktop
GeForce 6800 GS/XT,103,196,NA,Desktop
GeForce 6800 GT,142,212,NA,Desktop
GeForce 6800 LE,110,166,NA,Desktop
GeForce 6800 Ultra,139,153,NA,Desktop
GeForce 6800 XE,59,166,NA,Unknown
GeForce 6800 XT,128,150,NA,Desktop
GeForce 7000M,13,239,NA,Mobile
GeForce 7000M / nForce 610M,13,188,NA,Unknown
GeForce 7025 / nForce 630a,34,18,NA,Unknown
GeForce 7050 / nForce 610i,24,148,NA,Unknown
GeForce 7050 / nForce 620i,39,129,NA,Unknown
GeForce 7050 / nForce 630i,38,145,NA,Unknown
GeForce 7050 PV / nForce 630a,31,109,NA,Unknown
GeForce 705M,456,455,NA,Unknown
GeForce 7100 / nForce 620i,26,229,NA,Unknown
GeForce 7100 / nForce 630i,35,67,NA,Desktop
GeForce 7100 GS,52,133,NA,Desktop
GeForce 710A,451,258,33,Desktop
GeForce 710M,450,116,12,Mobile
GeForce 7150 / nForce 630i,33,254,NA,Unknown
GeForce 7150M / nForce 630M,18,194,NA,Unknown
GeForce 7200 GS,23,98,NA,Desktop
GeForce 720A,725,690,NA,Unknown
GeForce 7300 GS,82,57,NA,Desktop
GeForce 7300 GT,135,39,NA,Desktop
GeForce 7300 LE,78,85,NA,Desktop
GeForce 7300 SE,39,251,NA,Desktop
GeForce 7300 SE/7200 GS,49,40,NA,Workstation
GeForce 730A,769,205,NA,Unknown
GeForce 7350 LE,74,281,NA,Unknown
GeForce 7500 LE,87,82,NA,Desktop
GeForce 7600 GS,158,55,NA,Desktop
GeForce 7600 GT,204,101,NA,Desktop
GeForce 7650 GS,134,335,NA,Unknown
GeForce 770M,"3,246",500,NA,Unknown
GeForce 7800 GS,177,199,NA,Desktop
GeForce 7800 GT,244,273,NA,Desktop
GeForce 7800 GTX,291,196,86,Desktop
GeForce 7900 GS,254,68,NA,Desktop
GeForce 7900 GT,258,160,NA,Desktop
GeForce 7900 GT/GTO,247,469,NA,Desktop
GeForce 7900 GTX,388,165,NA,Desktop
GeForce 7950 GT,344,189,NA,Desktop
GeForce 7950 GX2,202,413,NA,Desktop
GeForce 7950 Xtreme,288,288,NA,Unknown
GeForce 800A,428,224,NA,Unknown
GeForce 800M,468,388,NA,Unknown
GeForce 8100 / nForce 720a,79,308,NA,Unknown
GeForce 810A,622,319,NA,Unknown
GeForce 810M,402,71,NA,Unknown
GeForce 8200,153,163,NA,Unknown
GeForce 8200M G,72,72,19.2,Mobile
GeForce 820A,568,162,NA,Unknown
GeForce 820M,511,112,15,Mobile
GeForce 825M,769,293,33,Mobile
GeForce 8300,102,168,NA,Unknown
GeForce 8300 GS,67,314,40,Desktop
